Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-04-01,71.2434,71.2434,69.5378,69.6253,68114.468449333
2022-04-04,70.6311,72.1619,69.7565,71.7245,96507.405959851
2022-04-05,72.1182,72.9053,71.6808,72.2055,111286.36723219
2022-04-06,72.5992,72.6866,69.1879,69.5815,125772.65316719
2022-04-07,70.4999,70.9373,69.3629,70.5874,67653.733445639
2022-04-08,70.8498,71.987,70.3251,71.7683,104658.87140982
2022-04-11,71.6371,72.0307,70.3688,71.7245,58027.458678634
2022-04-12,71.7245,71.7245,70.4999,70.8498,58671.115768162
2022-04-13,70.8935,70.9373,67.0887,67.3948,182435.05578029
2022-04-14,67.6135,68.4881,66.6513,67.0449,88194.74042174
2022-04-19,67.0449,69.6253,66.1702,69.5378,99015.725061847
2022-04-20,69.8002,70.4999,68.6631,69.494,95639.669315177
2022-04-21,69.9752,70.4999,68.2257,68.357,96469.678279648
2022-04-22,69.013,69.013,67.0887,67.2636,84313.362412954
2022-04-25,67.0012,69.4066,66.7389,68.182,92789.514565279
2022-04-26,69.2754,69.2754,64.9894,65.6017,64354.276322411
2022-04-27,64.9894,66.5638,64.5083,65.6017,59185.584134569
2022-04-28,67.0449,67.0449,66.0828,66.6513,40075.942480117
2022-04-29,66.9137,68.182,66.7389,68.182,77274.291897461
2022-05-02,68.1383,68.1383,66.1265,67.6135,45709.942723799
2022-05-04,67.8321,68.2257,66.695,66.9137,51439.977062543
2022-05-05,67.3948,67.9634,64.6833,65.2081,104163.83851503
2022-05-06,64.8145,65.1205,62.2779,65.1205,141150.68427063
2022-05-09,65.1205,65.1205,64.0273,64.2896,38572.551587171
2022-05-10,65.558,67.7447,64.4646,66.0828,112926.94968951
2022-05-11,66.2139,66.4764,65.2518,65.7766,89806.741303151
2022-05-12,64.9019,66.5638,63.3275,65.6017,119165.73607948
2022-05-13,66.87,67.3948,65.0332,67.1761,40375.47739567
2022-05-16,65.8203,67.3511,65.2956,67.2199,207807.49234848
2022-05-17,67.4822,69.2317,66.6076,68.4881,276149.47014206
2022-05-18,68.6193,69.1004,65.383,65.8203,188734.43511119
2022-05-19,64.6833,66.9137,64.3772,65.6892,138911.0319822
2022-05-20,65.6892,68.0509,65.4268,67.6135,95160.642102899
2022-05-23,67.9196,69.3629,67.9196,69.1879,74810.560053887
2022-05-24,68.4008,68.9692,68.0946,68.1383,23768.438528032
2022-05-25,69.1004,69.669,66.7389,69.1004,93063.897694029
2022-05-26,69.5378,69.5378,66.8263,68.3132,84220.758107
2022-05-27,68.3132,68.5319,66.5638,66.5638,37055.441537786
2022-05-30,67.3511,67.526,66.5201,66.695,53149.155302053
2022-05-31,66.7389,68.4445,66.7389,67.3948,118638.69181967
2022-06-01,68.1383,68.1383,67.0012,67.526,41168.901942974
2022-06-02,67.8758,67.8758,66.5638,67.4822,37551.61769561
2022-06-03,67.7447,67.8758,66.6513,66.8263,61462.9641032
2022-06-06,67.2636,68.3132,66.5638,67.8321,42744.318407218
2022-06-07,67.0887,67.3511,65.7329,66.5638,82372.101777042
2022-06-08,66.4764,66.5638,64.0711,64.727,101190.2113572
2022-06-09,65.2309,65.6432,64.3605,64.5896,64640.148471906
2022-06-10,64.5438,65.3683,63.3527,64.956,83088.803332043
2022-06-13,63.6735,64.0399,62.7114,63.9941,103399.56949211
2022-06-14,64.0857,64.0857,61.0623,62.2992,166484.32019004
2022-06-15,62.803,63.765,61.6578,62.5282,86682.045066724
2022-06-17,62.4366,67.2923,62.0702,66.2387,398497.27572077
2022-06-20,67.0174,67.0174,65.0018,65.0018,54851.511814368
2022-06-21,65.689,66.88,65.3226,66.7426,47335.393167646
2022-06-22,66.0096,66.6968,64.7729,66.1471,68041.284937661
2022-06-23,66.2387,67.6587,65.5515,67.2923,124661.03843191
2022-06-24,67.6129,69.6285,67.5671,69.6285,109111.42672102
2022-06-27,68.8497,70.2698,68.5749,69.8117,57570.456273994
2022-06-28,69.8117,70.9111,69.0788,70.5447,80175.570589071
2022-06-29,69.262,69.5369,67.5671,69.4911,91026.24376175
2022-06-30,69.4911,69.4911,67.8878,69.1704,58528.799604204
2022-07-01,69.1246,69.7201,67.7503,69.5827,64444.768681351
2022-07-04,69.4453,70.2698,67.6587,68.1168,24472.683151055
2022-07-05,69.1704,69.1704,66.9258,67.8878,32320.619989558
2022-07-06,68.2084,69.8117,67.7962,69.1704,51388.159437655
2022-07-07,69.5827,69.995,68.7581,69.7659,26807.417072829
2022-07-08,68.3917,69.6743,68.0252,69.262,216302.89226
2022-07-11,69.262,69.5827,68.0252,68.7581,16843.047754513
2022-07-12,67.8878,69.8575,67.8878,69.2162,88222.161739759
2022-07-13,69.9033,69.9033,66.88,68.1626,33283.329348607
2022-07-14,67.7962,68.2542,66.9258,67.3839,71398.761115023
2022-07-15,66.9258,68.8956,66.9258,68.7581,48549.14918495
2022-07-18,67.9794,69.5369,67.9794,69.1246,39761.424638804
2022-07-19,68.4833,69.0788,67.3381,67.7503,47987.0229719
2022-07-20,68.3917,68.6207,67.7045,68.1626,67958.330389716
2022-07-21,68.1626,70.1782,67.9794,69.3994,90791.569711642
2022-07-22,68.7581,69.7201,67.9794,68.2542,33761.409506502
2022-07-25,67.842,67.842,66.5135,66.6509,69639.251492817
2022-07-26,66.6509,67.7503,66.4677,66.6968,53955.384395118
2022-07-27,66.4219,66.6051,65.2767,66.1929,85618.917044373
2022-07-28,66.2845,66.8342,65.689,66.6968,54050.345522371
2022-07-29,66.88,67.1548,65.6432,66.1471,53620.291681707
2022-08-01,66.6051,67.842,66.1929,66.6051,46000.479850053
2022-08-02,66.4677,66.88,65.5057,65.5515,63454.771642057
2022-08-03,65.3683,65.8264,64.6354,65.1393,50882.791599515
2022-08-04,65.4599,66.1471,65.0477,65.5974,51045.426173776
2022-08-05,66.1012,67.2923,65.4141,65.689,59918.288282287
2022-08-08,66.0096,69.1246,65.5515,69.1246,73920.142769675
2022-08-09,68.7581,68.9414,65.7806,66.2845,44482.193321214
2022-08-10,66.8342,67.1548,65.3683,66.6509,52587.725861231
2022-08-11,67.6587,67.6587,66.3761,67.0632,22942.390042907
2022-08-12,67.2923,68.6207,66.88,68.1626,33205.83233671
2022-08-16,68.7123,70.6821,68.2542,69.4911,91450.840066365
2022-08-17,69.033,70.453,67.2923,67.7503,75722.221173064
2022-08-18,68.5749,70.4072,67.9336,69.8575,36149.627281557
2022-08-19,69.6285,71.4608,68.8497,71.0944,130198.25450726
2022-08-22,71.0027,71.0027,67.5671,67.8878,132606.11941209
2022-08-23,67.8878,69.9491,67.7045,68.3917,131959.94714389
2022-08-24,68.1626,69.1246,67.2006,68.3917,418100.74520888
2022-08-25,69.7659,69.8117,67.5213,68.3917,37331.729589776
2022-08-26,68.3459,68.7123,67.3381,67.3381,60441.120235784
2022-08-29,66.5135,66.6968,65.5057,66.0554,22698.98393512
2022-08-30,66.1929,66.88,65.0477,65.4599,57426.3773223
2022-08-31,65.0935,66.6968,65.0477,65.689,35034.106913135
2022-09-01,65.7806,65.8722,64.2232,64.3605,47777.453587617
2022-09-02,64.5896,64.727,63.2153,63.8566,67711.6497603
2022-09-05,64.0857,65.9638,63.3527,64.956,57680.698502185
2022-09-06,64.3605,65.6432,64.3147,65.3683,62350.166345734
2022-09-07,64.4521,65.7806,63.6735,65.5974,97038.26547336
2022-09-08,65.2309,65.7348,64.1315,65.0477,68268.318437301
2022-09-09,65.3226,66.88,64.3147,66.88,65654.158669816
2022-09-12,66.6968,68.0252,66.2845,67.5213,49216.060090141
2022-09-13,67.7962,67.7962,65.5515,66.0554,63666.52404076
2022-09-14,66.3303,68.7123,66.3303,67.2465,100890.19441676
2022-09-15,67.3381,69.262,66.9258,68.6207,122243.34996219
2022-09-16,67.2465,69.5827,65.1851,67.7045,318559.65370344
2022-09-19,67.5671,69.8575,66.6968,69.5827,101202.36547877
2022-09-20,68.3459,69.6285,67.2465,67.9336,67010.902131604
2022-09-21,67.2006,68.1626,66.5593,67.2006,69347.819067798
2022-09-22,66.7426,67.4297,66.1012,66.88,92296.758153964
2022-09-23,66.1012,66.88,65.3226,66.3761,97288.220624406
2022-09-26,66.3303,66.3303,64.5438,65.3226,130270.29398311
2022-09-27,66.1012,66.5593,64.498,65.0018,63984.152638813
2022-09-28,64.3147,65.1393,64.1315,64.727,68008.539721367
2022-09-29,65.0477,66.4677,64.6354,65.0477,82780.998298878
2022-09-30,66.0554,66.0554,62.803,63.3527,77958.719445956
2022-10-03,63.2153,63.765,60.192,63.3527,151816.64630467
2022-10-04,63.8566,65.5057,63.0321,65.2309,68816.255056623
2022-10-05,65.2767,65.6432,64.1773,64.7729,43905.877514436
2022-10-06,64.8186,65.3226,63.2611,63.9024,75303.082404499
2022-10-07,63.765,63.9024,62.1159,63.1238,63152.424144941
2022-10-10,62.6656,62.7114,61.5662,61.9327,45627.1843843
2022-10-11,61.8869,63.4444,61.1539,61.2456,84529.592848987
2022-10-12,61.5662,61.6578,59.5048,59.5965,175742.48434361
2022-10-13,59.8714,60.1462,58.1765,59.1842,114344.11228483
2022-10-14,60.4668,60.4668,59.2759,59.5507,81761.530564919
2022-10-17,60.0545,60.7417,59.7339,60.4211,28137.964361582
2022-10-18,61.3372,61.3372,59.6423,60.8791,73723.67147191
2022-10-19,61.2456,61.2456,59.23,59.23,45901.152693961
2022-10-20,59.5507,59.9171,58.5887,59.9171,70869.380118268
2022-10-21,60.4211,60.5126,59.2759,60.1004,38072.862985234
2022-10-24,60.2378,61.7495,60.2378,61.0623,40083.419265697
2022-10-25,61.2456,62.2075,60.8791,61.383,38739.773890426
2022-10-26,61.6578,62.6198,61.1998,62.5282,48172.579197567
2022-10-27,62.4824,63.765,61.7953,63.4902,49876.421952074
2022-10-28,63.2153,63.765,62.4824,63.0321,36375.569273986
2022-10-31,63.2153,63.3069,62.5282,62.9863,61052.364273275
2022-11-02,63.536,65.5974,63.3069,65.2767,97640.777453173
2022-11-03,65.2767,65.2767,63.7192,64.956,47680.309445945
2022-11-04,65.0018,65.6432,64.1315,64.6354,84070.068313658
2022-11-07,64.3605,64.6354,63.0321,64.4521,73418.049453164
2022-11-08,64.3147,64.8186,63.4902,63.6735,93884.901144232
2022-11-09,63.4444,64.4063,62.9863,63.1238,75357.657764989
2022-11-10,63.2153,63.9483,61.4747,63.1695,117351.21464785
2022-11-14,63.5818,63.9941,61.8411,62.345,201599.1986367
2022-11-15,62.6656,64.9102,61.9327,64.2689,85325.301604935
2022-11-16,64.1315,65.3683,63.3986,65.0477,64795.142495699
2022-11-17,65.0477,65.0477,62.7114,62.8947,75510.468774362
2022-11-18,63.2153,65.0018,62.3908,64.5438,82460.095179195
2022-11-21,65.1851,65.8722,64.4063,64.6354,64632.507921438
2022-11-22,64.3605,66.3303,64.3147,65.5515,73948.52195713
2022-11-23,66.2387,66.2387,64.5896,64.727,26141.597674848
2022-11-24,66.1471,66.1471,64.5896,66.1471,27153.424858338
2022-11-25,66.2387,67.7045,66.0096,67.4297,71009.093041123
2022-11-28,67.7962,68.4833,66.4219,68.071,90400.810130532
2022-11-29,68.2542,68.2542,66.0554,66.0554,59253.560391515
2022-11-30,66.6509,67.6587,66.2387,66.9716,99590.209329886
2022-12-01,67.109,68.2542,66.88,67.8878,61552.274575366
2022-12-02,68.3,69.1704,67.7962,68.6665,94369.530345385
2022-12-05,69.262,69.6285,67.9336,68.2542,61512.980315813
2022-12-06,68.5749,68.7123,67.4755,67.7962,35576.585996409
2022-12-07,68.3,68.9872,67.6587,68.5749,29813.427928634
2022-12-08,68.6665,69.1704,67.8878,68.8497,69757.134271476
2022-12-09,69.3994,69.3994,68.1626,68.1626,62376.362518769
2022-12-12,69.1246,69.1246,67.9794,68.8039,58024.523273274
2022-12-13,69.1246,70.224,67.7962,69.5369,94460.125443799
2022-12-14,70.1324,70.1324,68.8039,69.4453,59160.782278681
2022-12-15,69.6285,69.6285,66.5135,66.6051,107304.98228879
2022-12-16,67.2006,68.4375,65.9638,67.0174,209020.35615617
2022-12-19,67.2923,67.7503,66.0096,66.0096,36735.766653222
2022-12-20,66.0096,66.3761,65.0935,65.4141,67539.19162115
2022-12-21,65.4141,65.7348,65.0477,65.2309,20804.127418898
2022-12-22,65.2767,66.7884,64.9102,66.4677,56878.440702978
2022-12-23,66.8342,66.8342,65.7348,65.918,17826.495750547
2022-12-27,66.4219,66.6968,65.4599,65.8264,14203.783321202
2022-12-28,65.8264,66.4219,65.0477,65.4599,61866.62865179
2022-12-29,65.4141,66.8342,65.1393,66.4219,76832.284005436
2022-12-30,67.2465,68.5291,66.2845,66.5135,91041.524862688
2023-01-02,66.5135,67.6129,66.4219,67.0632,8583.6126979124
2023-01-03,67.2465,68.2084,66.5593,66.88,28322.42908004
2023-01-04,67.1548,67.5213,66.88,67.2006,36536.020833828
2023-01-05,67.3381,67.9794,66.6509,67.1548,87547.610284099
2023-01-09,67.5213,69.5827,67.5213,69.4911,123557.5246428
2023-01-10,69.4911,69.5369,68.2542,68.5291,85697.505563479
2023-01-11,68.4833,68.7581,66.88,66.9716,100447.04248958
2023-01-12,66.88,69.0788,66.88,67.2923,96594.02203897
2023-01-13,67.3839,67.4297,66.2845,66.6968,100859.63221489
2023-01-16,66.88,67.5213,66.0554,67.2006,57414.370742992
2023-01-17,66.8342,68.2542,66.4677,67.6587,77260.15483168
2023-01-18,67.6129,69.0788,67.5213,67.7503,79396.23444127
2023-01-19,67.7503,67.842,66.88,67.3839,91871.07034214
